Prompt,Input,Output,Type
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i guess i enjoy listening to jazz sometime although i do n't feel like i have a g- good understanding of it or a g- good feel for maybe what's good jazz and what's not,i guess i enjoy i enjoy jazz listening to jazz sometime although i do n't feel like i have a good g- good understanding of it or a good a g- good feel for maybe what's good jazz and what's not,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh the supports,the uh the supports,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i,i i,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh and there's this little mountain lakes,and uh and there's this little mountain lakes,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",So you've received a lot of uh flack?,So you've received a lot of <sil> uh <sil> flack?,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah that would be really time uh a time saver.,Yeah <sil> that would be really time <sil> uh <sil> a time saver.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",They can if they choose to. Right. well wai- have you had any experience with it at all?,They can if they choose to. Right. well wai- <sil> have you had any experience with it at all?,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",they have it like right across the street from us,they have it on on si- like right across the street from us,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Right research triangle and all of that. And uh I'm sure you have a lot of students there uh and a lot of researchers so you may have you know perhaps a little better economic climate but in all your cities now it seems like there is a crowd that's really effected by this bill.,Right <sil> research triangle and all of that. And <sil> uh <sil> I'm sure you have a lot of students there <sil> uh <sil> and a lot of researchers so you may have you know <sil> perhaps a little better economic climate <sil> but <sil> in all your cities now <sil> it seems like there is a crowd that's really effected by this bill.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but uh it does n't you know it's not as many people there that i really enjoy seeing,but uh it's it does n't you know it's not as many people there that i really really enjoy seeing,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's so easy nowadays you know,it's just it's so easy nowadays you know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's that cloth,it's it's that cloth,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh Yeah. Well I think I think his sleep book is my favorite.,Uh <sil> Yeah. Well <sil> I think <sil> I think his sleep book is my favorite.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and people got to pick and choose,and people got to choo- pick and choose,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",where are you from,are you where are you from,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",what time is it there,what what time is it there,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i find that lately that so many you know they're working waitressing jobs or waiter,well i find that lately that so many people are working you know they're working waitressing jobs or waiter,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i do n't know about dallas but around even in this little town it's not cheap at all,i do n't know about dallas but around even in this little town it's it's not cheap at all,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i i graduated back in seventy nine,i've i i graduated back in seventy nine,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i had a tune up done,i had a a tune up done,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i could name five or six people around my neighborhood that really do a good job on this,and i i can actually n- could name five or six people around my neighborhood that really do a good job on this,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",w- i think one that would be uh,w- i think f- i think one that would be uh,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and also i just think it gets a lot,and also i just think it it gets a lot,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",teti it um,teti it it um,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it it just is almost overwhelming sometimes when you think of the jobs that is out there to be done in order to flip things back around the way they needed to be,it's just it it just is almost overwhelming sometimes when you think of of the jobs that is out there to be done in order to flip things back around the way they needed to be,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",we screwed up one time like that too,we we screwed up one time like that too,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you do n't have to put a whole lot out,you d- you do n't have to put a whole lot out,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",only it was foggy,only only it was foggy,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",They're probably going oh I bet she can't get pregnant,They're probably going <sil> oh <sil> I bet she can't get pregnant,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Anyway what are your what are your first comments on that,Anyway <sil> what are your <sil> what are your first comments on that,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Not a thing goodness gracious.,Not a thing <sil> goodness gracious.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh apparently uh they have n't uh executed anybody since nineteen sixty seven i believe,uh apparently uh there's they have n't uh executed anybody since nineteen sixty seven i believe,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and they go boats,and they they go boats,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so that has a lot to do with it,so that that has a lot to do with it,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",we have a lot of people moving here from boston and different areas,ha- we have a lot of people moving here from boston and and different areas,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",We did MUMBLEx I did horseback riding too in fact when my children were growing up we always had horses and uh that was kind of for them but they weren't as interested in it as we were you know so uh that was a real I'd say probably for maybe fifteen years we dabbled in that you know we always had horses around and I really enjoyed that and I was disappointed when I went to Texas. I didn't see that many of them. Yes.,We did <sil> MUMBLEx I did horseback riding <sil> too <sil> in fact <sil> when my children were growing up <sil> we always had horses and <sil> uh <sil> that was kind of for them <sil> but they weren't as interested in it as we were <sil> you know <sil> so <sil> uh <sil> that was a real <sil> I'd say probably for maybe fifteen years <sil> we dabbled in that <sil> you know <sil> we always had horses around <sil> and I really enjoyed that <sil> and I was disappointed when I went to Texas. I didn't see that many of them. Yes.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it kind of down played compared to what you'd like huh,it kind of kind of down played compared to what you'd like huh,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh-huh. Yeah yeah.,Uh-huh. Yeah <sil> yeah.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i kind of decided that single children that that's not parenting,well i kind of decided that single single children that that that's not parenting,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and they do n't you know they do n't go out and abuse drugs,and they're they do n't you know they do n't go out and abuse drugs,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Magic Time Machine is the place you're thinking of See I when I went I thought the people drove me crazy first of all but then I just thought the food was over priced for what it was.,Magic Time Machine is the place you're thinking of <sil> See <sil> I <sil> when I went <sil> I thought <sil> the people drove me crazy first of all but then I just thought the food was over priced for what it was.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you know so it covers the emergency things,but you know so it covers the emergency things,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well that's true. uh I like it when they have short stories. Like REDBOOK used to always have a good short story in it.,Well <sil> that's true. uh <sil> I like it when they have short stories. Like REDBOOK used to always have a good short story in it.,sil
